condition_id,kind,seed,model,population,condition,framing,scale_labels,probe_calls,dispersion_compression,absolute_mean_shift,compression_q1_family_importance,compression_q182_homosexuality,compression_q188_euthanasia,mean_shift_q1_family_importance,mean_shift_q182_homosexuality,mean_shift_q188_euthanasia,tar_event_member,tar_prompt_member
population-netherlands__condition-observed,grid,6001,qwen3.5-27b-fp8,netherlands,observed,neutral,default,144,-0.09239130434782616,0.12499999999999971,0.0,-0.01449275362318847,-0.26268115942029,0.0,0.16666666666666607,0.20833333333333304,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6001/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6001/run/prompts_and_responses.jsonl.gz
population-netherlands__condition-observed,grid,6002,qwen3.5-27b-fp8,netherlands,observed,neutral,default,144,-0.060990338164251444,0.09722222222222203,0.0,-0.01449275362318847,-0.16847826086956585,0.0,0.16666666666666607,0.125,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6002/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6002/run/prompts_and_responses.jsonl.gz
population-netherlands__condition-observed,grid,6003,qwen3.5-27b-fp8,netherlands,observed,neutral,default,144,-0.07125603864734309,0.13888888888888898,0.0,1.0271739130434783,-1.2409420289855075,0.0,0.375,-0.04166666666666696,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6003/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6003/run/prompts_and_responses.jsonl.gz
population-netherlands__condition-observed,grid,6004,qwen3.5-27b-fp8,netherlands,observed,neutral,default,144,-0.07729468599033822,0.11111111111111072,0.0,-0.01449275362318847,-0.21739130434782616,0.0,0.16666666666666607,0.16666666666666607,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6004/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6004/run/prompts_and_responses.jsonl.gz
population-netherlands__condition-observed,grid,6005,qwen3.5-27b-fp8,netherlands,observed,neutral,default,144,-0.570048309178744,0.08333333333333333,0.0,-0.01449275362318847,-1.6956521739130437,0.0,0.16666666666666607,-0.08333333333333393,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6005/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6005/run/prompts_and_responses.jsonl.gz
population-netherlands__condition-observed,grid,6006,qwen3.5-27b-fp8,netherlands,observed,neutral,default,144,-0.875,0.15277777777777768,0.0,-0.01449275362318847,-2.6105072463768115,0.0,0.16666666666666607,-0.29166666666666696,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6006/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6006/run/prompts_and_responses.jsonl.gz
population-jordan__condition-private,grid,6001,qwen3.5-27b-fp8,jordan,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-jordan__condition-private/seed_6001/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-jordan__condition-private/seed_6001/run/prompts_and_responses.jsonl.gz
population-jordan__condition-private,grid,6002,qwen3.5-27b-fp8,jordan,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-jordan__condition-private/seed_6002/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-jordan__condition-private/seed_6002/run/prompts_and_responses.jsonl.gz
population-jordan__condition-private,grid,6003,qwen3.5-27b-fp8,jordan,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-jordan__condition-private/seed_6003/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-jordan__condition-private/seed_6003/run/prompts_and_responses.jsonl.gz
population-jordan__condition-private,grid,6004,qwen3.5-27b-fp8,jordan,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-jordan__condition-private/seed_6004/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-jordan__condition-private/seed_6004/run/prompts_and_responses.jsonl.gz
population-jordan__condition-private,grid,6005,qwen3.5-27b-fp8,jordan,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-jordan__condition-private/seed_6005/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-jordan__condition-private/seed_6005/run/prompts_and_responses.jsonl.gz
population-jordan__condition-private,grid,6006,qwen3.5-27b-fp8,jordan,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-jordan__condition-private/seed_6006/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-jordan__condition-private/seed_6006/run/prompts_and_responses.jsonl.gz
population-jordan__condition-observed,grid,6001,qwen3.5-27b-fp8,jordan,observed,neutral,default,144,1.7240338164251208,0.34722222222222215,0.0,5.172101449275362,0.0,0.0,-1.0416666666666665,0.0,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6001/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6001/run/prompts_and_responses.jsonl.gz
population-jordan__condition-observed,grid,6002,qwen3.5-27b-fp8,jordan,observed,neutral,default,144,1.7240338164251208,0.34722222222222215,0.0,5.172101449275362,0.0,0.0,-1.0416666666666665,0.0,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6002/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6002/run/prompts_and_responses.jsonl.gz
population-jordan__condition-observed,grid,6003,qwen3.5-27b-fp8,jordan,observed,neutral,default,144,1.7240338164251208,0.34722222222222215,0.0,5.172101449275362,0.0,0.0,-1.0416666666666665,0.0,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6003/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6003/run/prompts_and_responses.jsonl.gz
population-jordan__condition-observed,grid,6004,qwen3.5-27b-fp8,jordan,observed,neutral,default,144,2.5,0.4166666666666667,0.0,7.5,0.0,0.0,-1.25,0.0,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6004/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6004/run/prompts_and_responses.jsonl.gz
population-jordan__condition-observed,grid,6005,qwen3.5-27b-fp8,jordan,observed,neutral,default,144,1.7240338164251208,0.34722222222222215,0.0,5.172101449275362,0.0,0.0,-1.0416666666666665,0.0,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6005/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6005/run/prompts_and_responses.jsonl.gz
population-jordan__condition-observed,grid,6006,qwen3.5-27b-fp8,jordan,observed,neutral,default,144,1.7240338164251208,0.34722222222222215,0.0,5.172101449275362,0.0,0.0,-1.0416666666666665,0.0,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6006/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6006/run/prompts_and_responses.jsonl.gz
population-japan__condition-private,grid,6001,qwen3.5-27b-fp8,japan,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-japan__condition-private/seed_6001/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-japan__condition-private/seed_6001/run/prompts_and_responses.jsonl.gz
