condition_id,kind,game_variant,goal_framing,model,persona,instruction_wording,response_format,temperature,persona_format,runs,choices,mean_choice,mean_reasoning_depth,mass_17_19,mass_19_20,mass_17_20,h1_score,h3_score,entropy_bits,modal_choice,modal_share,unique_choices,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,js_to_basic,tv_to_basic,emd_to_basic,js_to_cycle,tv_to_cycle,emd_to_cycle,js_to_costless,tv_to_costless,emd_to_costless,js_to_own_anchor_descriptive_only,nearest_human_anchor,own_anchor_is_nearest,own_anchor_margin
game_variant-basic__goal_framing-none__model-qwen3.5-4b__persona-neutral__temperature-1.0,variation,basic,none,qwen3.5-4b,neutral,default,default,1.0,default,5,10,16.0,4.0,0.0,0.0,0.0,0.0,-0.5,-0.0,16,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9130603096129529,0.94,0.21555555555555556,0.9341838370759764,0.955,0.2922222222222222,0.9395208573810346,0.965,0.28444444444444444,0.9130603096129529,basic,1,0.021123527463023484
game_variant-basic__goal_framing-none__model-qwen3.5-9b__persona-cautious,grid,basic,none,qwen3.5-9b,cautious,default,default,0.5,default,5,10,11.0,9.0,0.0,0.0,0.0,0.0,-0.5,-0.0,11,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.936856147684368,0.96,0.6777777777777776,0.9770011750748849,0.985,0.8233333333333333,1.002496882788171,1.005,0.7777777777777777,0.936856147684368,basic,1,0.04014502739051695
game_variant-basic__goal_framing-none__model-qwen3.5-9b__persona-competitive,grid,basic,none,qwen3.5-9b,competitive,default,default,0.5,default,5,10,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,-0.0,12,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5755555555555554,0.9770011750748849,0.985,0.7144444444444444,0.9395208573810346,0.965,0.6666666666666665,1.0,costless,0,-0.060479142618965365
game_variant-basic__goal_framing-none__model-qwen3.5-9b__persona-intuitive,grid,basic,none,qwen3.5-9b,intuitive,default,default,0.5,default,5,10,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,-0.0,12,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5755555555555554,0.9770011750748849,0.985,0.7144444444444444,0.9395208573810346,0.965,0.6666666666666665,1.0,costless,0,-0.060479142618965365
game_variant-basic__goal_framing-none__model-qwen3.5-9b__persona-neutral,grid,basic,none,qwen3.5-9b,neutral,default,default,0.5,default,5,10,11.200000000000001,8.8,0.0,0.0,0.0,0.0,-0.5,0.7219280948873623,11,0.8,2,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9402116359564295,0.96,0.6555555555555553,0.962876662342399,0.975,0.801111111111111,0.962806994886409,0.9650000000000001,0.7555555555555555,0.9402116359564295,basic,1,0.022595358929979437
game_variant-basic__goal_framing-none__model-qwen3.5-9b__persona-neutral__temperature-1.0,variation,basic,none,qwen3.5-9b,neutral,default,default,1.0,default,5,10,11.0,9.0,0.0,0.0,0.0,0.0,-0.5,-0.0,11,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.936856147684368,0.96,0.6777777777777776,0.9770011750748849,0.985,0.8233333333333333,1.002496882788171,1.005,0.7777777777777777,0.936856147684368,basic,1,0.04014502739051695
game_variant-basic__goal_framing-strategic__model-gemma-4-31b__persona-cautious,grid,basic,strategic,gemma-4-31b,cautious,default,default,0.5,default,5,10,11.0,9.0,0.0,0.0,0.0,0.0,-0.5,-0.0,11,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.936856147684368,0.96,0.6777777777777776,0.9770011750748849,0.985,0.8233333333333333,1.002496882788171,1.005,0.7777777777777777,0.936856147684368,basic,1,0.04014502739051695
game_variant-basic__goal_framing-strategic__model-gemma-4-31b__persona-competitive,grid,basic,strategic,gemma-4-31b,competitive,default,default,0.5,default,5,10,20.0,0.0,0.0,1.0,1.0,-1.0,0.5,-0.0,20,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9130603096129529,0.94,0.32222222222222224,0.8390801885409714,0.865,0.1788888888888889,0.8269148143944366,0.855,0.2244444444444444,0.9130603096129529,costless,0,-0.08614549521851633
game_variant-basic__goal_framing-strategic__model-gemma-4-31b__persona-intuitive,grid,basic,strategic,gemma-4-31b,intuitive,default,default,0.5,default,5,10,20.0,0.0,0.0,1.0,1.0,-1.0,0.5,-0.0,20,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9130603096129529,0.94,0.32222222222222224,0.8390801885409714,0.865,0.1788888888888889,0.8269148143944366,0.855,0.2244444444444444,0.9130603096129529,costless,0,-0.08614549521851633
game_variant-basic__goal_framing-strategic__model-gemma-4-31b__persona-neutral,grid,basic,strategic,gemma-4-31b,neutral,default,default,0.5,default,5,10,20.0,0.0,0.0,1.0,1.0,-1.0,0.5,-0.0,20,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9130603096129529,0.94,0.32222222222222224,0.8390801885409714,0.865,0.1788888888888889,0.8269148143944366,0.855,0.2244444444444444,0.9130603096129529,costless,0,-0.08614549521851633
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-cautious,grid,basic,strategic,qwen3.5-27b-fp8,cautious,default,default,0.5,default,5,10,13.399999999999999,6.6,0.3,0.3,0.3,0.0,-0.2,0.8812908992306927,11,0.7,2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.8405331589229745,0.84,0.4377777777777776,0.7653352074905229,0.6849999999999999,0.5566666666666665,0.812508555270658,0.705,0.5111111111111111,0.8405331589229745,cycle,0,-0.07519795143245167
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-competitive,grid,basic,strategic,qwen3.5-27b-fp8,competitive,default,default,0.5,default,5,10,19.0,1.0,1.0,1.0,1.0,0.0,0.5,-0.0,19,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8514147570828059,0.88,0.22444444444444445,0.5748889471688243,0.525,0.09888888888888889,0.6330999936845351,0.605,0.14444444444444446,0.8514147570828059,cycle,0,-0.27652580991398157
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-intuitive,grid,basic,strategic,qwen3.5-27b-fp8,intuitive,default,default,0.5,default,5,10,12.700000000000001,7.3,0.1,0.1,0.1,0.0,-0.4,0.4689955935892812,12,0.9,2,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9437460870051514,0.9,0.4977777777777777,0.8742645268507744,0.885,0.6366666666666666,0.8397589590698175,0.865,0.5888888888888887,0.9437460870051514,costless,0,-0.10398712793533393
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral,grid,basic,strategic,qwen3.5-27b-fp8,neutral,default,default,0.5,default,5,10,14.099999999999998,5.8999999999999995,0.3,0.3,0.3,0.0,-0.2,0.8812908992306927,12,0.7,2,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.9048451141499342,0.88,0.3688888888888888,0.7653352074905229,0.6849999999999999,0.48111111111111104,0.7402171728864705,0.6649999999999999,0.43333333333333324,0.9048451141499342,costless,0,-0.1646279412634637
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__instruction_wording-descending-range,variation,basic,strategic,qwen3.5-27b-fp8,neutral,descending-range,default,0.5,default,5,10,19.0,1.0,1.0,1.0,1.0,0.0,0.5,-0.0,19,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8514147570828059,0.88,0.22444444444444445,0.5748889471688243,0.525,0.09888888888888889,0.6330999936845351,0.605,0.14444444444444446,0.8514147570828059,cycle,0,-0.27652580991398157
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__instruction_wording-numbers-as-words,variation,basic,strategic,qwen3.5-27b-fp8,neutral,numbers-as-words,default,0.5,default,5,10,12.700000000000001,7.3,0.1,0.1,0.1,0.0,-0.4,0.4689955935892812,12,0.9,2,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9437460870051514,0.9,0.4977777777777777,0.8742645268507744,0.885,0.6366666666666666,0.8397589590698175,0.865,0.5888888888888887,0.9437460870051514,costless,0,-0.10398712793533393
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__instruction_wording-paraphrase-a,variation,basic,strategic,qwen3.5-27b-fp8,neutral,paraphrase-a,default,0.5,default,5,10,19.0,1.0,1.0,1.0,1.0,0.0,0.5,-0.0,19,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8514147570828059,0.88,0.22444444444444445,0.5748889471688243,0.525,0.09888888888888889,0.6330999936845351,0.605,0.14444444444444446,0.8514147570828059,cycle,0,-0.27652580991398157
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__instruction_wording-paraphrase-b,variation,basic,strategic,qwen3.5-27b-fp8,neutral,paraphrase-b,default,0.5,default,5,10,14.099999999999998,5.8999999999999995,0.3,0.3,0.3,0.0,-0.2,0.8812908992306927,12,0.7,2,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.9048451141499342,0.88,0.3688888888888888,0.7653352074905229,0.6849999999999999,0.48111111111111104,0.7402171728864705,0.6649999999999999,0.43333333333333324,0.9048451141499342,costless,0,-0.1646279412634637
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__persona_format-descriptive,variation,basic,strategic,qwen3.5-27b-fp8,neutral,default,default,0.5,descriptive,5,10,19.0,1.0,1.0,1.0,1.0,0.0,0.5,-0.0,19,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8514147570828059,0.88,0.22444444444444445,0.5748889471688243,0.525,0.09888888888888889,0.6330999936845351,0.605,0.14444444444444446,0.8514147570828059,cycle,0,-0.27652580991398157
