claim_id,official_parent,short_label,point_estimate,pooled_run_mean,median_stratum,sign_consistency,n_strata,n_seed_effects,seeds,hier_ci_low,hier_ci_high,seed_ci_low,seed_ci_high,ci_low,ci_high,target_verdict,cross_design_status,identifiable_nondefault_levels
E1a,h1_persona_bottleneck,demographic exceeds generic diversity,0.08069393295338106,0.08069393295338105,0.08532124361904156,1.0,15,120,7001;7002;7003;7004;7005;7006;7007;7008,0.04965089316156725,0.11182952465350773,0.07582372404605753,0.08585441274174375,0.04965089316156725,0.11182952465350773,supported,not_identifiable,0
E1b,h1_persona_bottleneck,full biography exceeds demographic diversity,0.004221937422141975,0.004221937422141975,0.005175877269754339,0.8,15,120,7001;7002;7003;7004;7005;7006;7007;7008,0.0017687822258919716,0.0065771894276583,0.0035294388335407384,0.005068482386604559,0.0017687822258919716,0.0065771894276583,supported,not_identifiable,0
E1c,h1_persona_bottleneck,sociopsychological exceeds full-biography diversity,-0.012344430432622634,-0.012344430432622632,-0.013475250428877941,0.0,15,120,7001;7002;7003;7004;7005;7006;7007;7008,-0.015065124940098887,-0.009578319500056703,-0.013272129614533562,-0.01148542594501587,-0.015065124940098887,-0.009578319500056703,contradicted,not_identifiable,0
E3a,h3_model_monoculture,4B diversity is at least 9B diversity,-0.0040548518807412845,-0.0040548518807412845,0.013528671417627085,0.75,12,96,7001;7002;7003;7004;7005;7006;7007;7008,-0.02354368400374532,0.014001607887247568,-0.008400220401951633,-0.00017965449827874835,-0.02354368400374532,0.014001607887247568,mixed_or_inconclusive,not_identifiable,0
E3b,h3_model_monoculture,9B diversity is at least 27B diversity,-0.025934191922949323,-0.025934191922949323,-0.00803889731014136,0.0,12,96,7001;7002;7003;7004;7005;7006;7007;7008,-0.04583730319629219,-0.007363574737947106,-0.028762055623747135,-0.023324273060367176,-0.04583730319629219,-0.007363574737947106,contradicted,not_identifiable,0
