projection,factor,minimum_level,maximum_level,minimum_mean,maximum_mean,range
executed,persona_richness,generic,full-bio,0.8452694824188237,0.9155436781030017,0.07027419568417803
executed,action_prompt,reactive,deliberate,0.8940170926098626,0.894899312511104,0.0008822199012413767
executed,model,qwen3.5-4b,qwen3.5-27b-fp8,0.8790199995178827,0.9090090433215733,0.029989043803690607
strict,persona_richness,generic,full-bio,0.841145220346999,0.9157265823501137,0.07458136200311472
strict,action_prompt,engagement-max,deliberate,0.8926629374118019,0.8939099874201948,0.0012470500083928693
strict,model,qwen3.5-4b,qwen3.5-27b-fp8,0.8761268519843287,0.9089418172724101,0.032814965288081366
