condition_id,kind,seed,exposure_rule,graph_file,memory_architecture,model,topic,topic_paraphrase,persona_content,prompt_paraphrase,strict_probe_outputs,missing_probe_outputs,probe_calls,complete_probe_trajectory,initial_edge_alignment,final_edge_alignment,edge_alignment_gain,initial_opinion_variance,final_opinion_variance,opinion_variance_change,opinion_volatility,mean_absolute_opinion_shift,credulous_mean_shift,skeptical_mean_shift,credulity_shift_gap,prompt_records,tool_call_decisions,memory_or_probe_prompt_records,generated_nonterminal_actions,executed_nonterminal_actions,unexecuted_generated_calls,unexpected_event_calls,exact_action_sequence_match,unexecuted_call_labels_json,unexpected_event_labels_json,generated_overshoot_turns,generated_calls_above_cap,executed_overshoot_turns,executed_events_above_cap,maximum_generated_calls_in_agent_episode,maximum_executed_events_in_agent_episode,tar_action_member,tar_probe_member,tar_prompt_member
exposure_rule-chrono__graph_file-random,grid,4001,chrono,random,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.61328125,0.625,0.01171875,1.935483870967742,2.160282258064516,0.22479838709677402,0.015625,0.15625,0.1875,0.125,0.0625,1282,834,448,1621,1621,0,0,True,{},{},199,356,199,356,12,12,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4001/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4001/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4001/run/prompts_and_responses.jsonl.gz
exposure_rule-chrono__graph_file-random,grid,4002,chrono,random,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.61328125,0.6171875,0.00390625,1.935483870967742,1.9314516129032258,-0.0040322580645162365,0.013392857142857142,0.0625,0.0625,0.0625,0.0,1329,881,448,1509,1509,0,0,True,{},{},161,280,161,280,13,13,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4002/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4002/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4002/run/prompts_and_responses.jsonl.gz
exposure_rule-chrono__graph_file-random,grid,4003,chrono,random,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.61328125,0.65234375,0.0390625,1.935483870967742,2.1441532258064515,0.20866935483870952,0.060267857142857144,0.34375,0.3125,0.375,-0.0625,1215,767,448,1847,1847,0,0,True,{},{},221,568,221,568,12,12,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4003/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4003/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4003/run/prompts_and_responses.jsonl.gz
exposure_rule-chrono__graph_file-random,grid,4004,chrono,random,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.61328125,0.62890625,0.015625,1.935483870967742,2.193548387096774,0.25806451612903203,0.03571428571428571,0.3125,0.375,0.25,0.125,1321,873,448,1524,1524,0,0,True,{},{},177,297,177,297,11,11,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4004/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4004/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4004/run/prompts_and_responses.jsonl.gz
exposure_rule-chrono__graph_file-random,grid,4005,chrono,random,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.61328125,0.625,0.01171875,1.935483870967742,2.3941532258064515,0.4586693548387095,0.029017857142857144,0.21875,0.25,0.1875,0.0625,1340,892,448,1539,1539,0,0,True,{},{},190,281,190,281,9,9,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4005/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4005/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4005/run/prompts_and_responses.jsonl.gz
exposure_rule-stance-sim__graph_file-scale-free,grid,4001,stance-sim,scale-free,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.58203125,0.5703125,-0.01171875,1.935483870967742,2.2580645161290325,0.3225806451612905,0.026785714285714284,0.1875,0.1875,0.1875,0.0,1266,818,448,471,471,0,0,True,{},{},0,0,0,0,3,3,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free/seed_4001/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free/seed_4001/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free/seed_4001/run/prompts_and_responses.jsonl.gz
exposure_rule-stance-sim__graph_file-scale-free,grid,4002,stance-sim,scale-free,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.58203125,0.546875,-0.03515625,1.935483870967742,2.1360887096774195,0.2006048387096775,0.024553571428571428,0.15625,0.3125,0.0,0.3125,1226,778,448,405,405,0,0,True,{},{},1,1,1,1,4,4,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free/seed_4002/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free/seed_4002/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free/seed_4002/run/prompts_and_responses.jsonl.gz
exposure_rule-stance-sim__graph_file-scale-free,grid,4003,stance-sim,scale-free,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.58203125,0.5625,-0.01953125,1.935483870967742,2.125,0.189516129032258,0.013392857142857142,0.0625,0.125,0.0,0.125,1225,777,448,409,409,0,0,True,{},{},0,0,0,0,3,3,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free/seed_4003/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free/seed_4003/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free/seed_4003/run/prompts_and_responses.jsonl.gz
exposure_rule-stance-sim__graph_file-scale-free,grid,4004,stance-sim,scale-free,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.58203125,0.5546875,-0.02734375,1.935483870967742,2.0231854838709675,0.08770161290322553,0.011160714285714286,0.09375,0.1875,0.0,0.1875,1264,816,448,483,483,0,0,True,{},{},3,3,3,3,4,4,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free/seed_4004/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free/seed_4004/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free/seed_4004/run/prompts_and_responses.jsonl.gz
exposure_rule-stance-sim__graph_file-scale-free,grid,4005,stance-sim,scale-free,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.58203125,0.5625,-0.01953125,1.935483870967742,1.9959677419354838,0.06048387096774177,0.017857142857142856,0.0625,0.125,0.0,0.125,1200,752,448,371,371,0,0,True,{},{},2,2,2,2,4,4,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free/seed_4005/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free/seed_4005/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free/seed_4005/run/prompts_and_responses.jsonl.gz
exposure_rule-stance-sim__graph_file-small-world,grid,4001,stance-sim,small-world,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.84375,0.796875,-0.046875,1.935483870967742,2.193548387096774,0.25806451612903203,0.022321428571428572,0.125,0.125,0.125,0.0,1236,788,448,435,435,0,0,True,{},{},0,0,0,0,3,3,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-small-world/seed_4001/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-small-world/seed_4001/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-small-world/seed_4001/run/prompts_and_responses.jsonl.gz
exposure_rule-stance-sim__graph_file-small-world,grid,4002,stance-sim,small-world,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.84375,0.7890625,-0.0546875,1.935483870967742,2.2651209677419355,0.3296370967741935,0.029017857142857144,0.15625,0.3125,0.0,0.3125,1237,789,448,431,431,0,0,True,{},{},1,1,1,1,4,4,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-small-world/seed_4002/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-small-world/seed_4002/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-small-world/seed_4002/run/prompts_and_responses.jsonl.gz
exposure_rule-stance-sim__graph_file-small-world,grid,4003,stance-sim,small-world,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.84375,0.8046875,-0.0390625,1.935483870967742,2.152217741935484,0.216733870967742,0.011160714285714286,0.09375,0.1875,0.0,0.1875,1169,721,448,335,335,0,0,True,{},{},0,0,0,0,3,3,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-small-world/seed_4003/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-small-world/seed_4003/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-small-world/seed_4003/run/prompts_and_responses.jsonl.gz
exposure_rule-stance-sim__graph_file-small-world,grid,4004,stance-sim,small-world,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.84375,0.8203125,-0.0234375,1.935483870967742,1.9314516129032258,-0.0040322580645162365,0.013392857142857142,0.0625,0.125,0.0,0.125,1145,697,448,292,292,0,0,True,{},{},0,0,0,0,3,3,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-small-world/seed_4004/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-small-world/seed_4004/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-small-world/seed_4004/run/prompts_and_responses.jsonl.gz
exposure_rule-stance-sim__graph_file-small-world,grid,4005,stance-sim,small-world,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.84375,0.80078125,-0.04296875,1.935483870967742,2.160282258064516,0.22479838709677402,0.015625,0.09375,0.1875,0.0,0.1875,1182,734,448,353,353,0,0,True,{},{},1,1,1,1,4,4,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-small-world/seed_4005/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-small-world/seed_4005/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-small-world/seed_4005/run/prompts_and_responses.jsonl.gz
exposure_rule-stance-sim__graph_file-random,grid,4001,stance-sim,random,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.61328125,0.5859375,-0.02734375,1.935483870967742,2.160282258064516,0.22479838709677402,0.020089285714285716,0.09375,0.1875,0.0,0.1875,1211,763,448,404,404,0,0,True,{},{},2,3,2,3,5,5,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-random/seed_4001/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-random/seed_4001/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-random/seed_4001/run/prompts_and_responses.jsonl.gz
exposure_rule-stance-sim__graph_file-random,grid,4002,stance-sim,random,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.61328125,0.625,0.01171875,1.935483870967742,1.9959677419354838,0.06048387096774177,0.017857142857142856,0.0625,0.125,0.0,0.125,1211,763,448,402,402,0,0,True,{},{},1,2,1,2,5,5,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-random/seed_4002/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-random/seed_4002/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-random/seed_4002/run/prompts_and_responses.jsonl.gz
exposure_rule-stance-sim__graph_file-random,grid,4003,stance-sim,random,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.61328125,0.61328125,0.0,1.935483870967742,2.060483870967742,0.125,0.013392857142857142,0.0625,0.125,0.0,0.125,1234,786,448,433,433,0,0,True,{},{},0,0,0,0,3,3,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-random/seed_4003/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-random/seed_4003/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-random/seed_4003/run/prompts_and_responses.jsonl.gz
exposure_rule-stance-sim__graph_file-random,grid,4004,stance-sim,random,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.61328125,0.5703125,-0.04296875,1.935483870967742,2.1764112903225805,0.24092741935483852,0.05133928571428571,0.21875,0.4375,0.0,0.4375,1288,840,448,505,505,0,0,True,{},{},0,0,0,0,3,3,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-random/seed_4004/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-random/seed_4004/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-random/seed_4004/run/prompts_and_responses.jsonl.gz
exposure_rule-stance-sim__graph_file-random,grid,4005,stance-sim,random,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.61328125,0.6171875,0.00390625,1.935483870967742,2.1129032258064515,0.17741935483870952,0.013392857142857142,0.125,0.25,0.0,0.25,1267,819,448,495,495,0,0,True,{},{},0,0,0,0,3,3,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-random/seed_4005/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-random/seed_4005/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-random/seed_4005/run/prompts_and_responses.jsonl.gz
exposure_rule-stance-opp__graph_file-scale-free,grid,4001,stance-opp,scale-free,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.58203125,0.55859375,-0.0234375,1.935483870967742,2.087701612903226,0.15221774193548399,0.020089285714285716,0.09375,0.125,0.0625,0.0625,1248,800,448,455,455,0,0,True,{},{},0,0,0,0,3,3,polarization/sweeps/runs/exposure_rule-stance-opp__graph_file-scale-free/seed_4001/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-opp__graph_file-scale-free/seed_4001/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-stance-opp__graph_file-scale-free/seed_4001/run/prompts_and_responses.jsonl.gz
