seed,graph_file,memory_architecture,model,topic,treatment_value,treatment_condition,treatment_tar_member,reference_value,reference_condition,reference_tar_member,signed_effect,stratum_id,claim_id,official_parent,design_variable,design_level,condition_id,tar_probe_member,exposure_rule
4002,random,window,qwen3.5-27b-fp8,euthanasia,0.01171875,exposure_rule-stance-sim__graph_file-random,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-random/seed_4002/run/probe_events.jsonl.gz,0.00390625,exposure_rule-chrono__graph_file-random,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4002/run/probe_events.jsonl.gz,0.0078125,graph_file=random|memory_architecture=window|model=qwen3.5-27b-fp8|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4003,random,window,qwen3.5-27b-fp8,euthanasia,0.0,exposure_rule-stance-sim__graph_file-random,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-random/seed_4003/run/probe_events.jsonl.gz,0.0390625,exposure_rule-chrono__graph_file-random,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4003/run/probe_events.jsonl.gz,-0.0390625,graph_file=random|memory_architecture=window|model=qwen3.5-27b-fp8|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4004,random,window,qwen3.5-27b-fp8,euthanasia,-0.04296875,exposure_rule-stance-sim__graph_file-random,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-random/seed_4004/run/probe_events.jsonl.gz,0.015625,exposure_rule-chrono__graph_file-random,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4004/run/probe_events.jsonl.gz,-0.05859375,graph_file=random|memory_architecture=window|model=qwen3.5-27b-fp8|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4005,random,window,qwen3.5-27b-fp8,euthanasia,0.00390625,exposure_rule-stance-sim__graph_file-random,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-random/seed_4005/run/probe_events.jsonl.gz,0.01171875,exposure_rule-chrono__graph_file-random,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4005/run/probe_events.jsonl.gz,-0.0078125,graph_file=random|memory_architecture=window|model=qwen3.5-27b-fp8|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4001,scale-free,none,qwen3.5-27b-fp8,euthanasia,0.0,exposure_rule-stance-sim__graph_file-scale-free__memory_architecture-none,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free__memory_architecture-none/seed_4001/run/probe_events.jsonl.gz,0.0,exposure_rule-chrono__graph_file-scale-free__memory_architecture-none,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free__memory_architecture-none/seed_4001/run/probe_events.jsonl.gz,0.0,graph_file=scale-free|memory_architecture=none|model=qwen3.5-27b-fp8|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4002,scale-free,none,qwen3.5-27b-fp8,euthanasia,0.0,exposure_rule-stance-sim__graph_file-scale-free__memory_architecture-none,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free__memory_architecture-none/seed_4002/run/probe_events.jsonl.gz,0.0,exposure_rule-chrono__graph_file-scale-free__memory_architecture-none,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free__memory_architecture-none/seed_4002/run/probe_events.jsonl.gz,0.0,graph_file=scale-free|memory_architecture=none|model=qwen3.5-27b-fp8|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4003,scale-free,none,qwen3.5-27b-fp8,euthanasia,0.0,exposure_rule-stance-sim__graph_file-scale-free__memory_architecture-none,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free__memory_architecture-none/seed_4003/run/probe_events.jsonl.gz,0.0,exposure_rule-chrono__graph_file-scale-free__memory_architecture-none,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free__memory_architecture-none/seed_4003/run/probe_events.jsonl.gz,0.0,graph_file=scale-free|memory_architecture=none|model=qwen3.5-27b-fp8|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4004,scale-free,none,qwen3.5-27b-fp8,euthanasia,0.0,exposure_rule-stance-sim__graph_file-scale-free__memory_architecture-none,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free__memory_architecture-none/seed_4004/run/probe_events.jsonl.gz,0.0,exposure_rule-chrono__graph_file-scale-free__memory_architecture-none,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free__memory_architecture-none/seed_4004/run/probe_events.jsonl.gz,0.0,graph_file=scale-free|memory_architecture=none|model=qwen3.5-27b-fp8|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4005,scale-free,none,qwen3.5-27b-fp8,euthanasia,0.0,exposure_rule-stance-sim__graph_file-scale-free__memory_architecture-none,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free__memory_architecture-none/seed_4005/run/probe_events.jsonl.gz,0.0,exposure_rule-chrono__graph_file-scale-free__memory_architecture-none,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free__memory_architecture-none/seed_4005/run/probe_events.jsonl.gz,0.0,graph_file=scale-free|memory_architecture=none|model=qwen3.5-27b-fp8|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4001,scale-free,summary,qwen3.5-27b-fp8,euthanasia,0.0078125,exposure_rule-stance-sim__graph_file-scale-free__memory_architecture-summary,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free__memory_architecture-summary/seed_4001/run/probe_events.jsonl.gz,0.01171875,exposure_rule-chrono__graph_file-scale-free__memory_architecture-summary,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free__memory_architecture-summary/seed_4001/run/probe_events.jsonl.gz,-0.00390625,graph_file=scale-free|memory_architecture=summary|model=qwen3.5-27b-fp8|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
