model,cooperation_rate,mutual_cooperation_rate,endgame_decline,runs
gemma-4-31b,0.8360185185185185,0.8298148148148149,0.16604938271604938,540
qwen3.5-27b-fp8,0.8333333333333334,0.8333333333333334,0.0,540
qwen3.5-9b,0.6869444444444445,0.6803703703703703,0.005246913580246914,540
qwen3.5-4b,0.6851851851851852,0.6851851851851852,0.0,540
