instruction_framing,payoff_scale,vignette_frame,model,persona_stance,runs,divergent_actions
risk,lambda-10,fictional,gemma-4-31b,reciprocal,5,0
risk,lambda-10,fictional,qwen3.5-27b-fp8,competitive,5,0
risk,lambda-10,fictional,qwen3.5-27b-fp8,cooperative,5,0
risk,lambda-10,fictional,qwen3.5-27b-fp8,neutral,50,0
risk,lambda-10,fictional,qwen3.5-27b-fp8,reciprocal,5,0
risk,lambda-10,fictional,qwen3.5-4b,competitive,5,0
risk,lambda-10,fictional,qwen3.5-4b,cooperative,5,0
risk,lambda-10,fictional,qwen3.5-4b,neutral,5,0
risk,lambda-10,fictional,qwen3.5-4b,reciprocal,5,0
risk,lambda-10,fictional,qwen3.5-9b,competitive,5,0
risk,lambda-10,fictional,qwen3.5-9b,cooperative,5,0
risk,lambda-10,fictional,qwen3.5-9b,neutral,5,0
risk,lambda-10,fictional,qwen3.5-9b,reciprocal,5,0
